cell,site,date,night,CORRAF,CORTOW,EPTFUS,LASBOR,LASCIN,LASINT,LASNOC,MYOAUS,MYOGRI,MYOLEI,MYOLUC,MYOSEP,MYOSOD,NYCHUM,PERSUB,TADBRA
cell-108,C108-S2,20170718,night4,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
cell-108,C108-S3,20210722,night1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
cell-108,C108-S3,20210723,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
cell-108,C108-S3,20210724,night3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
cell-108,C108-S3,20210725,night4,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
cell-108,C108-S3,20200730,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
cell-108,C108-S3,20200731,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
cell-108,C108-S3,20200801,night3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-108,C108-S3,20200802,night4 ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cell-108,C108-S3,20190718,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Cell-108,C108-S3,20190719,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Cell-108,C108-S3,20190720,night3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
Cell-108,C108-S3,20190721,night4 ,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
cell-108,C108-S3,20180717,night1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
cell-108,C108-S3,20180718,night2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
cell-108,C108-S3,20180719,night3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
cell-108,C108-S3,20180720,night4 ,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
cell-108,C108-S3,20150721,night1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1
cell-108,C108-S3,20150722,night2,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
cell-108,C108-S3,20150723,night3,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0
cell-108,C108-S3,20150724,night4,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1
cell-108,C108-S4,20150721,night1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
cell-108,C108-S4,20150722,night2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S4,20150723,night3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
cell-108,C108-S4,20150724,night4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-108,C108-S6,20150721,night1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0
cell-108,C108-S6,20150722,night2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0
cell-108,C108-S6,20150723,night3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
cell-108,C108-S6,20150724,night4,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
cell-108,C108-S6,20160717,night1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S6,20160718,night2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S6,20160719,night3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S6,20160720,night4,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S6,20170715,night1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-108,C108-S6,20170716,night2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
cell-108,C108-S6,20170717,night3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1
cell-108,C108-S6,20170718,night4,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1
cell-108,C108-S7,20170715,night1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0
cell-108,C108-S7,20170716,night2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-108,C108-S7,20170717,night3,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0
cell-108,C108-S7,20170718,night4,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0
cell-10,C10-S1,20210617,night1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
cell-10,C10-S1,20210618,night2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
cell-10,C10-S1,20210619,night3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
cell-10,C10-S1,20210620,night4,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
cell-10,C10-S1,20200616,night1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
cell-10,C10-S1,20200617,night2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
cell-10,C10-S1,20200618,night3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
cell-10,C10-S1,20200619,night4 ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Cell-10,C10-S1,20190628,night1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Cell-10,C10-S1,20190629,night2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Cell-10,C10-S1,20190630,night3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
Cell-10,C10-S1,20190701,night4 ,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
cell-10,C10-S1,20180704,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-10,C10-S1,20180705,night2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
cell-10,C10-S1,20180706,night3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
cell-10,C10-S1,20180707,night4 ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cell-10,C10-S1,20150713,night1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0
cell-10,C10-S1,20150714,night2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0
cell-10,C10-S1,20150715,night3,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0
cell-10,C10-S1,20150716,night4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
cell-10,C10-S1,20160706,night1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0
cell-10,C10-S1,20160707,night2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
cell-10,C10-S1,20160708,night3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
cell-10,C10-S1,20160709,night4,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0
cell-10,C10-S1,20170705,night1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0
cell-10,C10-S1,20170706,night2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
cell-10,C10-S1,20170707,night3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0
cell-10,C10-S1,20170708,night4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
cell-10,C10-S2,20210617,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-10,C10-S2,20210618,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-10,C10-S2,20210619,night3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
cell-10,C10-S2,20210620,night4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
cell-10,C10-S2,20200616,night1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-10,C10-S2,20200617,night2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell-10,C10-S2,20200618,night3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-10,C10-S2,20200619,night4 ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cell-10,C10-S2,20190628,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cell-10,C10-S2,20190629,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cell-10,C10-S2,20190630,night3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Cell-10,C10-S2,20190701,night4 ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-10,C10-S2,20180704,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-10,C10-S2,20180705,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-10,C10-S2,20180706,night3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-10,C10-S2,20180707,night4 ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-10,C10-S2,20150713,night1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-10,C10-S2,20150714,night2,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-10,C10-S2,20150715,night3,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1
cell-10,C10-S2,20150716,night4,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1
cell-10,C10-S2,20160706,night1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
cell-10,C10-S2,20160707,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1
cell-10,C10-S2,20160708,night3,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0
cell-10,C10-S2,20160709,night4,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1
cell-10,C10-S2,20170705,night1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0
cell-10,C10-S2,20170706,night2,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0
cell-10,C10-S2,20170707,night3,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1
cell-10,C10-S2,20170708,night4,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-10,C10-S3,20150713,night1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1
cell-10,C10-S3,20150714,night2,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1
cell-10,C10-S3,20150715,night3,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0
cell-10,C10-S3,20150716,night4,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-12,C12-S2,20150612,night1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1
cell-12,C12-S2,20150613,night2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
cell-12,C12-S2,20150614,night3,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1
cell-12,C12-S2,20150615,night4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1
cell-12,C12-S3,20210601,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
cell-12,C12-S3,20210602,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-12,C12-S3,20210603,night3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
cell-12,C12-S3,20210604,night4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
cell-12,C12-S3,20200605,night1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0
cell-12,C12-S3,20200606,night2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
cell-12,C12-S3,20200607,night3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
cell-12,C12-S3,20200608,night4 ,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Cell-12,C12-S3,20190529,night1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
Cell-12,C12-S3,20190530,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
Cell-12,C12-S3,20190531,night3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Cell-12,C12-S3,20190601,night4 ,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1
cell-12,C12-S3,20180609,night1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
cell-12,C12-S3,20180610,night2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-12,C12-S3,20180611,night3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
cell-12,C12-S3,20180612,night4 ,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0
cell-12,C12-S3,20160609,night1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0
cell-12,C12-S3,20160610,night2,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,0
cell-12,C12-S3,20160611,night3,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1
cell-12,C12-S3,20160612,night4,0,0,1,1,0,0,1,1,0,0,1,0,0,1,1,1
cell-12,C12-S3,20170610,night1,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,1
