psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),psi(sc.water),p(canopy),p(j_date),df,logLik,QAIC,delta,weight
2.209020998981022,-0.7473524169974046,-2.0836910270275264,0.31475100916463694,NA,NA,NA,NA,NA,1.0438727775899876,NA,NA,NA,NA,NA,NA,-0.523333779417412,NA,NA,NA,NA,NA,NA,NA,0.09393246946438126,NA,+,0.3053790171150547,10,-1176.7294657156303,923.7084028472264,3.981322988583088,0.00334958326051494
2.208072802652191,-0.7481637397545678,-2.0843488457406023,0.3153982552921331,NA,NA,NA,NA,NA,1.0636729987662272,NA,NA,NA,NA,NA,NA,-0.5230964272527132,NA,NA,NA,NA,NA,NA,0.08190411640549557,NA,NA,+,0.3054467730629103,10,-1176.7596557383,923.7315369642146,4.004457105571305,0.00331106165534463
3.401049657577101,-0.7514019520438192,-2.0908212617892903,0.3123449172204767,NA,NA,1.0391469467825771,NA,NA,NA,NA,NA,NA,2.2021121979438893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,0.299545731631815,9,-1179.450109843374,923.7931876194438,4.066107760800492,0.00321055414198088
2.2021299382498403,-0.7400435184704519,-2.086487740972247,0.33577709787160276,NA,1.035230601072372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43862569859319184,NA,NA,NA,NA,NA,NA,NA,0.08899862910520275,NA,+,0.3043616058764678,10,-1176.8803529709562,923.8240252651005,4.09694540645728,0.00316143086127629
2.1926839131917135,-0.7437884734279684,-2.0977062709188754,0.3507703767703722,1.1295736763831512,NA,NA,NA,NA,NA,NA,NA,0.470398810506509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1184563205010768,NA,+,0.30486045297463926,10,-1176.9242967147675,923.8576986320057,4.130618773362471,0.00310864843794853
3.265425925132966,-0.7525269401166348,-2.0909742846040897,0.31225131886887575,NA,NA,NA,0.8786285788393137,NA,NA,NA,NA,NA,2.2127945274808996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,0.29818401256003096,9,-1179.5401708278116,923.8621998680549,4.135120009411594,0.00310165992492864
2.205049197258123,-0.7420092053457752,-2.0870807451390907,0.33570142967401745,NA,1.0382555275100962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.440401688426599,NA,NA,NA,NA,NA,NA,0.033860944593499746,NA,NA,+,0.3043888632881482,10,-1176.9503522313137,923.877664545068,4.150584686424736,0.0030777693245942
2.1198297405462463,-0.738569208673716,-2.083228420490662,0.30379490922124736,NA,NA,NA,NA,0.8607051123810787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07867913946055524,NA,+,0.3049545701138328,9,-1179.5810533316676,923.8935274572166,4.166447598573313,0.00305345468510224
2.29065010656973,-0.7424761371487097,-2.104325542514014,0.3347558433100799,NA,NA,NA,NA,NA,NA,1.253105459835613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,0.30317517298209856,8,-1182.1989392709602,923.8995703225748,4.172490463931581,0.00304424280088441
2.1919290904917275,-0.7458739072143719,-2.0990421676907705,0.3520203406450541,1.144817203721303,NA,NA,NA,NA,NA,NA,NA,0.4839427381003689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08221461497576735,NA,NA,+,0.3049348731287675,10,-1177.0113730357084,923.9244237821521,4.197343923508811,0.00300664689905018
2.1990121555055624,-0.7417702403611899,-2.0892379478552927,0.3363328773513893,NA,1.019189461897485,NA,NA,NA,NA,NA,NA,0.3467968404761063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10017814071802489,NA,+,0.3049766732082508,10,-1177.0259518414869,923.9355952808329,4.208515422189635,0.0029898993404935
2.1244645506156887,-0.7412724406771278,-2.0837524840573365,0.30279696649832266,NA,NA,NA,NA,0.8527002764835919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005286654544655031,NA,NA,+,0.30495286624528456,9,-1179.6419685479434,923.9402057838647,4.213125925221448,0.00298301480884374
