psi(Int),col(Int),ext(Int),p(Int),psi(sc.canopy1km_mean),psi(sc.canopy1km_median),psi(sc.canopy2500m_mean),psi(sc.canopy2500m_median),psi(sc.canopy500m_mean),psi(sc.canopy500m_median),psi(sc.canopy5km_mean),psi(sc.canopy5km_median),psi(sc.dis_2_clutter),psi(sc.elev),psi(sc.impervious),psi(sc.structure),psi(sc.tree_canopy),psi(sc.urban1km_mean),psi(sc.urban1km_median),psi(sc.urban2500m_mean),psi(sc.urban2500m_median),psi(sc.urban500m_mean),psi(sc.urban500m_median),psi(sc.urban5km_mean),psi(sc.urban5km_median),psi(sc.water),p(canopy),df,logLik,QAIC,delta,weight
-0.4287196002159185,-2.110337141570567,-0.7417437872088937,0.5249692773355088,NA,NA,NA,NA,0.4013502819273029,NA,NA,NA,NA,NA,-0.24865006251493263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-741.1906384598392,1001.7094549136943,9.585035664268162,0.00115805058141676
-0.3812796065612253,-2.102944461580801,-0.7418202008059841,0.5283726387782369,NA,NA,NA,0.26656633719134804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-742.7314408003041,1001.7502527156346,9.625833466208405,0.00113466693349905
-0.40847000181712906,-2.0935873840345316,-0.7374137588597725,0.5285521013196524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.275446366545525,NA,NA,NA,+,+,8,-742.804247812959,1001.8466858449789,9.722266595552696,0.00108125520436133
-0.5685038667112997,-2.0363335231271917,-0.712434511715678,0.5286420817956473,0.4903256197460738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20801043106999917,NA,NA,NA,NA,+,+,9,-741.3514795092208,1001.9224894161864,9.798070166760226,0.00104104061779953
-0.42605891839070276,-2.1323422258288467,-0.7660775205161433,0.5247655630751329,NA,NA,NA,NA,NA,NA,NA,NA,-0.23650853400582583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-742.8776008147483,1001.9438421387396,9.819422889313387,0.00102998521282116
-0.5697155124940028,-2.054051186596626,-0.7156471756529371,0.5268298034953831,NA,NA,NA,NA,0.5353415503688526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1379912248963808,NA,NA,+,+,9,-741.3742454711576,1001.9526430081557,9.828223758729564,0.00102546278775757
-0.5671033466594707,-2.0350713654893275,-0.710525698258986,0.528707701346946,0.4887258492459858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20651505475547297,NA,NA,NA,NA,NA,NA,+,+,9,-741.4050796627538,1001.9934829970249,9.869063747598716,0.00100473519226874
-0.031522436644676285,-2.117537430671827,-0.747365426419744,0.5257689492626243,NA,NA,NA,NA,NA,NA,NA,NA,-0.5057635010744532,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,11,-738.4117222741229,1002.0287712240038,9.904351974577594,0.000987163009176816
-0.430001101815701,-2.108269779918125,-0.7467491135740708,0.5263450849315529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20754336611136645,NA,NA,NA,NA,NA,NA,NA,NA,+,+,8,-742.9973648009932,1002.1024699350903,9.97805068566413,0.000951448753328181
-0.3904808546617526,-2.111584318060322,-0.7444686715222082,0.5260810891390942,0.3365336810906235,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.27711707218086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-741.4979890341763,1002.1165417671209,9.992122517694725,0.000944777934985102
-0.5699104315019812,-2.035092807687623,-0.706783731853839,0.528295672551765,NA,NA,NA,NA,NA,0.5218063740538207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21510483094804517,NA,NA,NA,NA,+,+,9,-741.5004791324575,1002.1198399105397,9.995420661113485,0.000943221212347286
-0.48932044732678187,-2.0939107714113545,-0.7379400388438209,0.5248261303040619,NA,NA,NA,NA,0.43634342150666355,NA,NA,NA,-0.07974317359769452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-741.5294258072046,1002.1581798770922,10.03376062766597,0.000925311886669871
-0.4821955774064921,-2.0829583155142304,-0.7294275292769457,0.526217138405621,NA,NA,NA,NA,0.43717160148037976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06652198042477699,NA,NA,NA,+,+,9,-741.5496059370209,1002.1849085258556,10.060489276429394,0.000913027984320156
-0.5036482226906852,-2.0800192947279728,-0.72753200557778,0.526237734728863,NA,NA,NA,NA,0.45806487675264496,NA,NA,NA,NA,0.0562612120368848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+,+,9,-741.5528562022984,1002.189213512978,10.06479426355179,0.000911064811079579
-0.507606094631237,-2.07636525277548,-0.7270361782971966,0.5263061360716629,NA,NA,NA,NA,0.4903592638548128,NA,NA,NA,NA,NA,NA,NA,NA,0.04468115820450131,NA,NA,NA,NA,NA,NA,NA,+,+,9,-741.5604691780214,1002.1992969245317,10.07487767510554,0.000906483050009313
-0.5664064960236131,-2.033703732166261,-0.7047409420403903,0.528387190971554,NA,NA,NA,NA,NA,0.5162101178476725,NA,NA,NA,NA,NA,NA,NA,NA,0.21241336753020607,NA,NA,NA,NA,NA,NA,+,+,9,-741.5628240694401,1002.2024159860134,10.077996736587238,0.00090507046359903
