id,date,site_code,name,latitude,longitude,distance,prcp,tmax,tmin,tavg
USC00317516,2015-06-15,C1-S1,ROXBORO 7 ESE,36.3464,-78.8858,20.84266027413575,0,33.3,20.6,26.95
USC00317516,2015-06-15,C1-S2,ROXBORO 7 ESE,36.3464,-78.8858,20.04300724856741,0,33.3,20.6,26.95
USC00317656,2015-07-13,C10-S1,SANFORD 8 NE,35.5356,-79.0475,5.396202190513637,26.9,30.6,20.6,25.6
USC00317656,2015-07-13,C10-S3,SANFORD 8 NE,35.5356,-79.0475,5.467640927341328,26.9,30.6,20.6,25.6
USC00317656,2015-07-13,C10-S2,SANFORD 8 NE,35.5356,-79.0475,5.385787526884459,26.9,30.6,20.6,25.6
USC00317656,2015-07-14,C10-S1,SANFORD 8 NE,35.5356,-79.0475,5.396202190513637,0,30.6,20,25.3
USC00317656,2015-07-14,C10-S2,SANFORD 8 NE,35.5356,-79.0475,5.385787526884459,0,30.6,20,25.3
USC00317656,2015-07-14,C10-S3,SANFORD 8 NE,35.5356,-79.0475,5.467640927341328,0,30.6,20,25.3
USC00317656,2015-07-15,C10-S1,SANFORD 8 NE,35.5356,-79.0475,5.396202190513637,0,30.6,22.8,26.700000000000003
USC00317656,2015-07-15,C10-S2,SANFORD 8 NE,35.5356,-79.0475,5.385787526884459,0,30.6,22.8,26.700000000000003
USC00317656,2015-07-15,C10-S3,SANFORD 8 NE,35.5356,-79.0475,5.467640927341328,0,30.6,22.8,26.700000000000003
USC00317656,2015-07-16,C10-S1,SANFORD 8 NE,35.5356,-79.0475,5.396202190513637,0,29.4,24.4,26.9
USC00317656,2015-07-16,C10-S3,SANFORD 8 NE,35.5356,-79.0475,5.467640927341328,0,29.4,24.4,26.9
USC00317656,2015-07-16,C10-S2,SANFORD 8 NE,35.5356,-79.0475,5.385787526884459,0,29.4,24.4,26.9
USC00319100,2015-06-05,C18-S2,WASHINGTON WWTP 4W,35.5525,-77.0722,3.889096133963335,0,22.2,17.8,20
USC00319100,2015-06-05,C18-S1,WASHINGTON WWTP 4W,35.5525,-77.0722,2.1492521326727982,0,22.2,17.8,20
USC00319100,2015-06-05,C18-S3,WASHINGTON WWTP 4W,35.5525,-77.0722,4.909664010954685,0,22.2,17.8,20
USC00319100,2015-06-05,C18-S4,WASHINGTON WWTP 4W,35.5525,-77.0722,11.531196075076656,0,22.2,17.8,20
USC00319100,2015-06-06,C18-S1,WASHINGTON WWTP 4W,35.5525,-77.0722,2.1492521326727982,0,28.3,16.7,22.5
USC00319100,2015-06-06,C18-S4,WASHINGTON WWTP 4W,35.5525,-77.0722,11.531196075076656,0,28.3,16.7,22.5
