site_code,Longitude,Latitude,year,cc_250m
C108-S7,-78.04578091,36.18453409,cc_250m_2017,51
C10-S1,-78.98866145,35.54352486,cc_250m_2017,48
C10-S2,-78.99189108,35.55288292,cc_250m_2017,35
C10-S3,-78.98733049,35.54013798,cc_250m_2017,47
C12-S2,-78.50178628,35.82474827,cc_250m_2017,20
C12-S3,-78.41303366,35.81712526,cc_250m_2017,30
C12-S4,-78.41134907,35.8177529,cc_250m_2017,35
C12-S5,-78.4322444,35.7615219,cc_250m_2017,39
C12-S6,-78.42391,35.73882,cc_250m_2017,43
C13-S1,-78.90894796,34.514936,cc_250m_2017,53
C13-S2,-78.87915088,34.48014675,cc_250m_2017,51
C13-S3,-78.8796517,34.48092828,cc_250m_2017,51
C13-S4,-79.000136,34.3934,cc_250m_2017,33
C14-S1,-76.48970875,36.19902422,cc_250m_2017,7
C14-S2,-76.55103746,36.25843816,cc_250m_2017,15
C14-S3,-76.44094401,36.19911633,cc_250m_2017,6
C18-S1,-77.08723526,35.56746642,cc_250m_2017,28
C18-S2,-77.03584389,35.53384041,cc_250m_2017,31
C18-S3,-77.03855921,35.51785712,cc_250m_2017,28
C18-S4,-77.09190315,35.45004551,cc_250m_2017,50
C19-S1,-77.81732719,34.21633372,cc_250m_2017,20
C19-S2,-77.96103618,34.2559471,cc_250m_2017,27
C19-S3,-77.99355394,34.30097208,cc_250m_2017,15
C19-S4,-77.94518868,34.20880149,cc_250m_2017,10
C19-S5,-78.06238,34.13972,cc_250m_2017,45
C19-S6,-78.06538,34.15923,cc_250m_2017,60
C1-S1,-79.06100549,36.46989799,cc_250m_2017,48
C1-S2,-79.05947537,36.46020172,cc_250m_2017,53
C1-S3,-79.06121881,36.46366932,cc_250m_2017,56
C1-S4,-79.06154294,36.46038646,cc_250m_2017,53
C1-S5,-79.05746975,36.45351606,cc_250m_2017,36
C200-S1,-79.95218108,35.71283578,cc_250m_2017,57
C200-S2,-79.95059213,35.71500854,cc_250m_2017,59
C200-S3,-79.76456224,35.62668365,cc_250m_2017,57
C200-S4,-79.75524223,35.62597395,cc_250m_2017,39
C200-S5,-79.83569576,35.7154532,cc_250m_2017,41
C201-S1,-76.697845,36.432268,cc_250m_2017,51
C201-S2,-76.692643,36.437062,cc_250m_2017,57
C202-S1,-81.8486964,36.1937618,cc_250m_2017,48
C202-S2,-81.870577,36.142199,cc_250m_2017,33
C203-S1,-80.485603,35.838485,cc_250m_2017,43
C203-S2,-80.44841,35.83875,cc_250m_2017,59
C204-S1,-78.976964,35.573754,cc_250m_2017,42
C204-S2,-78.98015,35.576124,cc_250m_2017,49
C205-S1,-81.738823,36.135661,cc_250m_2017,63
C205-S2,-81.811973,36.163409,cc_250m_2017,69
C206-S1,-81.33562,36.45597,cc_250m_2017,68
C206-S2,-81.465992,36.392943,cc_250m_2017,65
C207-S1,-76.89657,35.46465,cc_250m_2017,52
C207-S2,-76.91015,35.47084,cc_250m_2017,51
C208-S1,-82.53721,35.24017,cc_250m_2017,72
C208-S2,-82.52929,35.24444,cc_250m_2017,27
C209-S1,-79.09277,35.69675,cc_250m_2017,52
C209-S2,-79.09505,35.71507,cc_250m_2017,50
C20-S1,-79.85221583,35.36388609,cc_250m_2017,54
C20-S2,-79.78760317,35.36019788,cc_250m_2017,23
C20-S3,-79.90247388,35.2898971,cc_250m_2017,55
C20-S4,-79.81928,35.28214,cc_250m_2017,54
C21-S1,-80.91127398,35.68276243,cc_250m_2017,49
C21-S2,-80.92546094,35.65620228,cc_250m_2017,52
C21-S3,-80.92528,35.66556,cc_250m_2017,57
C22-S1,-76.98514813,35.11597462,cc_250m_2017,50
C22-S2,-76.97235625,35.12296479,cc_250m_2017,62
C22-S3,-77.06009852,35.04910749,cc_250m_2017,44
C22-S4,-77.04637173,35.02746139,cc_250m_2017,53
C22-S5,-76.985954,35.123366,cc_250m_2017,50
C22-S6,-77.048441,35.029778,cc_250m_2017,49
C22-S7,-77.04975,34.96971,cc_250m_2017,60
C22-S8,-76.99017,35.10834,cc_250m_2017,56
C24-S1,-80.26836173,36.39245817,cc_250m_2017,62
C24-S2,-80.30368818,36.40004229,cc_250m_2017,56
C24-S3,-80.43970828,36.15820259,cc_250m_2017,41
C24-S4,-80.32960041,36.41941052,cc_250m_2017,43
C24-S5,-80.33262276,36.42220228,cc_250m_2017,50
C24-S6,-80.248998,36.429226,cc_250m_2017,56
C24-S7,-80.265446,36.413975,cc_250m_2017,50
C29-S1,-77.14768723,36.0974788,cc_250m_2017,53
C29-S2,-77.14507853,36.10186757,cc_250m_2017,46
C2-S1,-79.29604302,35.17778982,cc_250m_2017,44
C2-S2,-79.25216158,35.19580462,cc_250m_2017,45
C2-S3,-79.24722833,35.14814897,cc_250m_2017,35
C34-S1,-80.72238109,35.26616466,cc_250m_2017,50
C34-S2,-80.70774428,35.25567739,cc_250m_2017,40
C37-S1,-79.62646821,35.01620038,cc_250m_2017,41
C37-S2,-79.62596362,35.00916336,cc_250m_2017,49
C37-S3,-79.62099197,34.99461715,cc_250m_2017,38
